CLIENT_VAT;TIMO_ID;AT_KM;CZ_KM;DE_KM;EE_KM;HU_KM;LT_KM;LV_KM;PL_KM;SE_KM;SK_KM;COMPANY_LP;ADRESS_LP;COD_LP;CITY_LP;LATITUDE_LP;LONGTITUDE_LP;START_LOAD_DATA;START_LOAD_TIME;END_LOAD_DATA;END_LOAD_TIME;COMPANY_DP;ADRESS_DP;COD_DP;CITY_DP;LATITUDE_DP;LONGTITUDE_DP;START_DELIVERY_DATA;START_DELIVERY_TIME;END_DELIVERY_DATA;END_DELIVERY_TIME;VEHICLE_TYPE;BODY_TYPE;LOAD_UNLOAD_METHOD;EPALE;GOODS_TYPE;TEMP_MIN;TEMP_MAX;EURO;LDM;M3;HEIGHT;WIDTH;TONS;REQUIREMENTS;OTHER_COSTS;QTY_LOADS;QTY_DELIVERIES;SOURCE;PAYMENT TERM;DOCUMENTS_BY;CARGO_VALUE_EURO;CUSTOMS;TIME_OF_ENTRY
;;;340.60;;;;;;150.40;;;;;PL41300;;;;27.04.2021;;29.04.2021;;;;CZ19017;;;;28.04.2021;;30.04.2021;;Rigid truck, Articulated truck;Tautliner, Refrigerator, Curtain;Side, Back,;0;Other;;;580;13.6;;;;24;;;1;1;;;;;;
;;;;;;;;;682.10;107.70;;;;PL43150;;;;30.04.2021;10:30;30.04.2021;10:30;;;SE26538;;;;04.05.2021;8:00;04.05.2021;8:00;Rigid truck, Articulated truck;Refrigerator;Back;0;Yoghurt;2;6;1570;13.6;;;;22.5;;-300;1;1;;;;;;
;;;197.50;;;;;;601.10;;36.40;;;PL70651;;;;05.05.2021;7:00;05.05.2021;16:00;;;SK91501;;;;07.05.2021;7:00;07.05.2021;16:00;Rigid truck, Articulated truck;Refrigerator;Back;22;Frozen Food;-18;-18;880;13.6;;;;14;;;1;1;;;;;;
;;;70.20;;;;;;386.90;;205.80;;;SK90301;;;;06.05.2021;;06.05.2021;15:00;;;PL62080;;;;07.05.2021;;07.05.2021;;Rigid truck, Articulated truck;Refrigerator;Back;0;Food;4;20;500;13.6;;;;22;;;1;1;;;;;;
;;;;;;;;;429.60;;;;;PL62052;;;;07.05.2021;;05.05.2021;23:00;;;PL32085;;;;10.05.2021;8:30;05.05.2021;8:30;Rigid truck, Articulated truck;Box, Thermo, Tautliner, Mega, Refrigerator, Curtain;Back;0;Food;;;272.9257642;13.6;;;;22;;;1;1;;;;;;
;;;303.70;;;;;;204.70;;;;;PL40386;;;;10.05.2021;17:30;07.05.2021;17:30;;;CZ25267;;;;11.05.2021;16:00;11.05.2021;16:00;Rigid truck, Articulated truck;Refrigerator;Back;0;Margarine;2;7;600;13.6;;;;22;;;1;1;;;;;;
;;;139.50;;;;;;530.80;328.80;;;;CZ25101;;;;14.05.2021;15:00;14.05.2021;15:00;;;SE44361;;;;17.05.2021;13:00;17.05.2021;13:00;Rigid truck, Articulated truck;Thermo, Refrigerator;Back;0;Other;15;15;1500;13.6;;;;22;;-300;1;1;;;;;;
;;;;;;;;;263.10;;;;;PL72602;;;;18.05.2021;8:00;18.05.2021;10:00;;;PL89620;;;;18.05.2021;8:00;18.05.2021;20:00;Rigid truck, Articulated truck;Refrigerator;Back;0;Frozen Fish;-20;-18;242.8256071;13.6;;;;22;;;1;1;;;;;;
;;;;;;;;;138.90;;;;;PL85846;;;;19.05.2021;10:00;19.05.2021;10:00;;;PL61017;;;;19.05.2021;21:00;19.05.2021;21:00;Rigid truck, Articulated truck;Tautliner, Frigo, Box;Back;0;Other;;;160;13.6;;;;16.5;;;1;1;;;;;;
;;;;;;;;;228.80;;;;;PL62080;;;;20.05.2021;6:00;20.05.2021;6:00;;;PL30740;;;;20.05.2021;14:00;20.05.2021;14:00;Rigid truck, Articulated truck;Box, Thermo, Tautliner, Mega, Refrigerator, Curtain;Back;17;Food;;;305.3097345;13.6;;;;13;;;1;1;;;;;;
